mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022061976,26.1,15,105.87,38.82,1
2022061974,34.7,26,101.21,39.92,1
2022061932,28.5,20,106.23,53.02,1
2022061924,27.6,18,65.9,30.63,1
2022061891,25.4,17,102.44,48.67,1
2022061880,33,22,97.24,36.77,1
2022061873,23.8,16,92.67,30.4,1
2022061872,27,18,103.52,43.17,1
2022061796,20,13,107.78,34.6,1
2022061783,27.5,20,96,37.62,1
2022061757,27.9,19,91.96,39.23,1
2022061715,19,13,103.6,38.42,1
2022061672,22.3,16,106.92,45.35,1
2022061628,29.4,18,109.99,44.58,1
2022061564,27.6,16,101.43,39.68,1
2022061534,16.5,20,94.71,33.4,1
2022061528,30.3,17,100.27,28.73,1
2022061470,27.4,19,100.11,30.15,1
2022061446,30.5,21,98.1,34.87,1
2022061444,27.2,16,105.86,49.27,1
2022061372,28.2,19,99.2,45.08,1
2022061369,19.1,16,95.85,33.7,1
2022061319,27,19,101.38,38.48,1
2022061307,32.2,20,105.23,33.3,1
2022061301,34.1,22,103.78,45.17,1
2022061292,23.4,16,94.12,32.22,1
2022061280,18.4,15,93.06,33.08,1
2022061272,31.2,20,99.76,44.22,1
2022061260,30.1,24,106.59,30.12,1
2022061212,21.5,14,104.62,35.17,1
2022061210,19.8,13,105.44,43.92,1
2022061198,21.1,14,101,30.85,1
2022061192,21.9,16,102.31,35.95,1
2022061174,23.2,22,101.02,33.83,1
2022061153,14.6,10,100.64,32.47,1
2022061132,25.7,22,104.64,37,1
2022061093,24.5,16,94.32,51.42,1
2022061092,23.8,19,101.84,34.22,1
2022061089,20.3,19,97.45,47.93,1
2022061063,30.9,21,104.08,35.37,1
2022061039,22.8,14,99.44,31.05,1
2022060982,27.9,17,103.69,37.98,1
2022060975,20.5,18,102.93,33.87,1
2022060955,31.8,24,100.04,35.72,1
2022060950,29.6,19,102.5,43.23,1
2022060946,28.7,17,102.59,29.47,1
2022060926,24.5,17,101.53,33.07,1
2022060910,31.9,20,98.61,40.85,1
2022060900,27.7,18,97.72,41.33,1
2022060899,26.8,18,98.62,40.87,1
2022060882,27.1,25,104.19,38.38,1
2022060866,33,22,98.4,39.97,1
2022060854,33,24,92.09,38.65,1
2022060852,25.4,17,100.76,43.33,1
2022060828,18,13,100.38,31.75,1
2022060792,22.3,16,102.86,38.48,1
2022060769,30.5,24,101.76,31.58,1
2022060735,27.1,23,98.33,38.32,1
2022060692,26.8,19,97.36,35.13,1
2022060688,20.3,12,96.38,34.95,1
2022060686,21.8,16,101.26,32.48,1
2022060680,17.3,15,97.89,41.17,1
2022060678,18.8,13,103.69,38.08,1
2022060669,32.2,22,101.72,44.95,1
2022060650,26.9,20,99.17,32.3,1
2022060634,18.9,14,103.96,38.95,1
2022060612,20.4,12,99.33,44.75,1
2022060581,16.9,16,96.74,33.83,1
2022060511,35.6,22,104.4,45.33,1
2022060510,28.6,22,97,42.32,1
2022060502,23.6,16,101.74,44.75,1
2022060489,21.1,22,107.7,33,1
2022060465,27,18,71.74,35.1,1
2022060442,26.6,22,97.24,29.25,1
2022060415,23.7,19,97.1,43.13,1
2022060414,27.4,18,93.2,41.53,1
2022060407,28.6,19,94.49,30.42,1
2022060393,29.7,20,98.91,38.88,1
2022060392,27.4,18,102.03,29.57,1
2022060383,18.2,19,97.3,38.67,1
2022060373,27.7,19,91.55,44.55,1
2022060371,20.5,13,98.84,35.48,1
2022060359,32.8,24,101.81,52.32,1
2022060346,15.6,10,97.76,33.72,1
2022060334,29.8,23,103.84,31.82,1
2022060328,32.4,22,97.44,36,1
2022060302,29.6,20,105.22,31.23,1
2022060273,20.7,22,105.89,32.65,1
2022060261,16.4,20,103.45,32.03,1
2022060260,33,22,101.35,37.93,1
2022060196,26.4,18,108.15,29.97,1
2022060177,29.8,21,104.68,37.4,1
2022060172,22.3,23,95.99,35.32,1
2022060152,23.7,25,102.79,37.38,1
2022060127,23.4,19,93.61,31.3,1
2022060110,27.7,24,102.2,34.58,1
2022060104,17.6,13,103.34,39.4,1
2022060102,26.6,27,104.63,34.32,1
2022060100,30.9,18,104.47,30.02,1
2022060080,28.4,18,93.74,38.5,1
2022060076,17.7,22,103.26,31.88,1
2022060067,17.8,12,107.17,35.85,1
2022060058,26.5,18,102.2,53.05,1
2022060032,19.5,23,101.59,45.98,1
2022060024,26.7,16,97.11,35.12,1
2022060021,21.4,23,100.27,30.8,1
2022060010,31,28,104.02,35.77,1
2022051869,20.4,16,97.41,30.97,1
2022051833,36,23,96.75,46.43,1
2022051832,28.9,20,100.72,38.77,1
2022051809,22.3,16,103.7,37.18,1
2022051791,29.8,19,99.91,30.35,1
2022051790,28.4,18,103.62,39.97,1
2022051773,22.3,16,104.53,36.42,1
2022051763,18.1,12,100.9,35.62,1
2022051733,27.5,20,104.12,35.77,1
2022051710,29.3,19,104.22,37.48,1
2022051664,30.8,22,99.69,33.03,1
2022051643,28.2,21,102.3,33.38,1
2022051639,17.1,15,96.83,34.63,1
2022051588,32.9,25,87.21,36.07,1
2022051540,24.1,15,96.41,31.5,1
2022051518,18.3,12,104.23,42.9,1
2022051501,23.3,19,99.45,41.03,1
2022051471,26.1,18,96.92,56.43,1
2022051451,33.4,26,84.04,37.07,1
2022051434,29.9,20,100.94,48.3,1
2022051413,27,28,90.31,56.83,1
2022051407,30.6,23,96,33.72,1
2022051404,26.9,21,102.25,32.17,1
2022051370,20.9,15,91.76,32.77,1
2022051366,24.2,17,103.59,32.07,1
2022051360,26.1,18,100.76,37.73,1
2022051350,29.8,20,100.37,30.2,1
2022051342,25.1,18,102.17,41.27,1
2022051330,21.7,19,83.56,31.52,1
2022051321,27.9,19,109.26,39.53,1
2022051320,31.5,19,101.91,42.07,1
2022051299,22.9,16,104.15,31.48,1
2022051262,20.2,12,99.59,32.08,1
2022051257,31.1,28,103.37,51.42,1
2022051241,28.2,21,98.92,38.87,1
2022051232,29.1,19,105.1,54.88,1
2022051227,30.7,20,97.96,36.15,1
2022051219,31.8,21,96.01,37.82,1
2022051204,27.1,26,104.09,35.62,1
2022051195,26,16,111.39,35.83,1
2022051189,27.1,23,96.52,35.38,1
2022051184,31.4,20,101.7,32.72,1
2022051172,24.3,17,105.87,40.48,1
2022051150,29,27,103.68,32.75,1
2022051117,25.4,20,101.96,43.02,1
2022051115,22.6,24,100.28,36.88,1
2022051098,31,22,96.2,30.28,1
2022051096,29.1,27,103.78,32.48,1
2022051093,17.4,23,98.56,36.05,1
2022051091,32.2,24,103.81,39.5,1
2022051046,29.8,23,97.42,40.55,1
2022051045,26.1,25,104.21,31.37,1
2022051037,18.4,13,87.78,41.37,1
2022051030,24.8,27,96.77,35.53,1
2022051017,30.5,20,103.6,49.68,1
2022051016,28.9,19,103.74,45.48,1
2022051011,28.9,19,97.35,39.12,1
2022050999,26.8,19,98.41,29.65,1
2022050990,31.6,21,104.66,38.03,1
2022050970,20.7,13,57.54,39.22,1
2022050913,30.2,28,94.55,49.58,1
2022050905,28,19,96.83,40.18,1
2022050887,27.4,18,93.84,35.98,1
2022050796,31.1,21,96.44,49.35,1
2022050787,21.7,14,104.49,43.7,1
2022050783,15.4,10,91.59,32.98,1
2022050764,20.3,14,105.46,33.43,1
2022050745,25.9,25,97.58,45.8,1
2022050743,15.3,19,99.26,35.5,1
2022050716,16.5,11,101.39,38.07,1
2022050698,26.1,18,93.58,44.62,1
2022050687,21.3,16,102.97,34.3,1
2022050685,18.8,13,107.8,38.48,1
2022050670,17.3,13,101.61,32.08,1
2022050645,18.5,13,103.44,44.3,1
2022050642,24.2,18,106.17,36.13,1
2022050627,20.1,19,106.61,33.55,1
2022050625,27.8,17,102.18,41.25,1
2022050622,16.7,11,105.24,37.43,1
2022050604,26,17,99.57,40.45,1
2022050588,25.3,16,104.89,46.03,1
2022050584,19.6,14,92.73,31.7,1
2022050568,24.5,21,97.85,30.52,1
2022050537,22.3,15,94.78,39.83,1
2022050536,22.3,16,107.52,38.38,1
2022050527,25.9,20,106.39,55.33,1
2022050514,24.1,18,103.38,43.18,1
2022050479,27.3,18,105.4,37.03,1
2022050464,26.3,23,97.84,41.33,1
2022050441,17,12,99.96,34.77,1
2022050416,29,20,101.18,38.68,1
2022050392,17,12,93.67,32.13,1
2022050375,24.8,22,102.28,40.43,1
2022050368,28.6,21,95.81,34.65,1
2022050348,27,18,105.14,43.28,1
2022050292,27.1,16,98.97,32.67,1
2022050287,27.1,17,103.82,33.15,1
2022050263,21.5,14,102.12,35.17,1
2022050256,25.6,16,108.34,34.78,1
2022050250,21.2,17,98.78,38.1,1
2022050247,20.5,13,104.95,40.95,1
2022050228,22.3,16,104.31,40.03,1
2022050208,31.5,21,97.95,46.17,1
2022050191,37.4,26,103.41,46.62,1
2022050179,20.4,15,96.93,37.82,1
2022050176,17.8,13,104.19,34.4,1
2022050158,28.7,19,99.19,46.32,1
2022050115,17.5,13,104.76,32.27,1
2022050050,18.4,19,101.2,34.65,1
2022050020,31,20,90.6,34.77,1
2022041960,19.8,24,92.7,33.27,1
2022041948,26.2,25,105.2,31.95,1
2022041915,26.5,18,108.17,51.85,1
2022041885,27.2,17,103.53,30.58,1
2022041870,24.9,20,98.99,48.85,1
2022041843,18.8,13,101.86,33.33,1
2022041794,22.4,16,102.42,31.22,1
2022041791,33.6,25,101.98,49.27,1
2022041789,19.1,17,98.36,38.3,1
2022041767,20.2,14,100.27,43.98,1
2022041760,31,22,99.87,32.77,1
2022041739,22.9,18,100.52,36.17,1
2022041728,24.8,27,106.19,33.87,1
2022041712,29.9,20,95.01,32.45,1
2022041711,29,21,97.52,30.17,1
2022041698,29.5,20,105.61,32.9,1
2022041694,23.4,23,102.38,35.93,1
2022041677,21,16,101.24,32.55,1
2022041659,22.5,15,95.99,35.87,1
2022041658,23.7,16,96.02,40.05,1
2022041621,22.1,15,91.25,32.98,1
2022041609,25.1,24,101.31,39.85,1
2022041606,25.9,30,99.92,51.65,1
2022041544,29,20,107.88,44.78,1
2022041527,20,14,100.26,46.8,1
2022041526,32.3,21,101.55,37.32,1
2022041485,21.2,14,44.14,39.78,1
2022041438,24,25,103.12,41.52,1
2022041432,25.3,25,107.18,34.97,1
2022041406,24.6,15,103.52,56.42,1
2022041405,22.6,17,104.1,51.28,1
2022041401,15.3,13,95.74,33.9,1
2022041397,31.3,21,100.82,44.47,1
2022041323,22.3,16,100.58,34.57,1
2022041309,29.7,27,100.15,35.83,1
2022041302,15.4,12,98.49,35.88,1
2022041263,31.4,21,102,39.12,1
2022041252,30.8,22,101.86,29.93,1
2022041186,31.2,21,96.13,34.38,1
2022041143,26.8,21,104.56,34.57,1
2022041126,17.6,21,99.86,34.95,1
2022041119,34.8,23,45.96,44.1,1
2022041116,26.3,16,103.79,31.55,1
2022041089,29.1,19,92.98,29.62,1
