mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022061981,38.6,27,103.13,46.03,3
2022061973,41.1,25,104.12,23.05,3
2022061952,46.4,31,101.39,37.23,3
2022061943,46.3,27,103.21,43.37,3
2022061841,33.2,19,102.95,25.23,3
2022061809,31.2,23,96.76,28.27,3
2022061795,36.7,21,110.71,26.25,3
2022061782,47,34,95.17,24.67,3
2022061745,38.1,22,103.99,30.53,3
2022061695,35.1,21,101.16,23.33,3
2022061631,32.2,24,89.6,29.08,3
2022061612,50.5,31,105.96,36.08,3
2022061608,44.6,26,107.74,41.95,3
2022061542,36.5,24,101.61,26.27,3
2022061532,33,22,102.6,29.52,3
2022061478,36.1,22,104.24,24.75,3
2022061453,48,35,93.14,25.6,3
2022061424,37,21,101.51,21.93,3
2022061390,49.8,34,92.49,27.58,3
2022061384,36.4,22,103.15,35.78,3
2022061355,45.3,31,98.17,36.62,3
2022061333,33.4,22,101.6,30.92,3
2022061315,42.7,27,105.43,41.98,3
2022061314,37.1,28,95.61,22.9,3
2022061312,50.8,30,103.24,38.27,3
2022061209,41.2,24,105.81,37.98,3
2022061207,36.1,25,113.07,29.1,3
2022061188,46.1,30,105.35,37.22,3
2022061142,39.1,29,102.69,26.37,3
2022061126,38.1,22,105.28,30.28,3
2022061115,36,21,95.84,38.03,3
2022061045,52.4,32,92.12,36.7,3
2022060909,38.1,22,104.4,28.92,3
2022060890,39.7,24,106.63,20.63,3
2022060886,36.7,24,104.68,36.75,3
2022060848,40.7,23,101.28,42.07,3
2022060835,39.7,24,103.22,36.4,3
2022060823,45.4,28,97.25,32.37,3
2022060747,37.3,26,111.04,20.75,3
2022060723,39.5,27,103.06,27.62,3
2022060721,43.2,30,103.25,33.95,3
2022060698,34.7,19,104.97,28.2,3
2022060674,32,22,96.65,24.77,3
2022060564,34.9,23,104.71,19.58,3
2022060549,37.8,22,102.19,21.8,3
2022060545,33.6,21,83.96,23.9,3
2022060528,36.4,23,101.01,36.45,3
2022060475,37.2,24,102.91,35.37,3
2022060384,41,29,97.7,38.97,3
2022060361,43.1,30,99.79,29.67,3
2022060200,36.8,27,102.63,23.83,3
2022060185,38.6,26,107.34,22.23,3
2022060168,43.7,26,98.98,44.83,3
2022060154,31.9,31,104.19,32,3
2022060139,32.5,23,110.13,33.23,3
2022060124,34.8,22,105.83,38.03,3
2022060062,35.7,24,100.95,38.78,3
2022060022,32.3,24,99.6,27.95,3
2022060016,45.1,30,80.08,36.22,3
2022060002,37.6,23,109.9,40.43,3
2022051864,47.3,31,100.61,40.43,3
2022051752,51.2,34,110.6,32.97,3
2022051739,34.1,22,97.74,21.77,3
2022051738,38.3,29,100.11,31.48,3
2022051659,33.8,21,100.82,22.18,3
2022051633,42.5,28,105.49,29.98,3
2022051585,35.5,24,103.8,35.5,3
2022051557,46.9,29,102.97,23.52,3
2022051487,36,23,102.17,23.93,3
2022051480,43,30,103.02,30.38,3
2022051422,36.6,25,88.99,42.6,3
2022051420,49.6,34,86.76,28.23,3
2022051401,34.3,26,96.53,33.75,3
2022051398,32.3,26,85.51,28.52,3
2022051390,39.7,33,96.99,46.38,3
2022051358,35.6,24,103.23,21.15,3
2022051347,46.2,30,103.41,36.35,3
2022051341,35.1,24,105.09,31.45,3
2022051333,33.6,26,97.71,34.43,3
2022051314,39.3,26,90.72,23.65,3
2022051307,48.8,30,109.17,27.47,3
2022051283,36.9,24,114.69,39.63,3
2022051244,37.9,24,107.27,28.12,3
2022051220,38.7,26,91.82,35.1,3
2022051207,38.2,25,95.3,32.83,3
2022051170,50.2,33,103.24,30.18,3
2022051156,39.1,29,87.13,24.08,3
2022051153,34.2,23,99.8,25.52,3
2022051144,45.6,30,92.04,32.13,3
2022051040,33.1,22,101.06,32.28,3
2022051021,49.8,34,98.54,41.42,3
2022051000,39.4,26,90.86,30.47,3
2022050972,50.2,33,105.19,25.92,3
2022050934,40.1,27,94.93,26.42,3
2022050924,34.6,21,92.77,23.88,3
2022050908,36.8,26,98.22,20.22,3
2022050892,30.8,18,100.23,29.37,3
2022050879,35.5,23,104.37,32.32,3
2022050868,39.1,29,99.63,28.73,3
2022050862,33.6,32,102.65,35.58,3
2022050801,35.2,24,100.38,33.68,3
2022050753,35.9,22,98.56,28.03,3
2022050720,44.2,30,94.32,33.48,3
2022050718,37.9,29,93.31,31.65,3
2022050700,32.1,21,89.23,26.53,3
2022050643,33.2,20,102.9,24.78,3
2022050635,51.2,32,89.21,43.6,3
2022050587,32.4,21,91.39,33.03,3
2022050586,36.1,22,101.26,29.87,3
2022050542,47.6,34,104.74,41.13,3
2022050519,34.6,26,100.7,33.98,3
2022050515,34.5,21,101.97,24.88,3
2022050511,33,21,98.97,25.42,3
2022050455,34.7,23,99.05,22.07,3
2022050451,41.9,26,92.5,23.07,3
2022050383,35.6,23,103.76,35.7,3
2022050373,37.4,22,102.45,28.02,3
2022050359,33.6,21,103.37,22.2,3
2022050355,48,35,104.57,38.18,3
2022050290,37.2,25,100.88,21.35,3
2022050264,46.5,30,101,32.9,3
2022050203,33.7,23,95.15,23.58,3
2022050123,36.6,27,94.14,30.93,3
2022050070,62.8,43,96.31,38.45,3
2022050033,55.9,37,60.64,36.38,3
2022050015,39.1,29,102.34,32.87,3
2022050004,36.1,24,103.57,33.2,3
2022041959,49.3,33,107.38,27,3
2022041871,36.3,23,103.85,34.08,3
2022041838,34.9,26,100.65,28.13,3
2022041811,39.6,24,105.22,31.98,3
2022041805,49.3,34,104.91,45.45,3
2022041756,43.7,28,99.06,33.75,3
2022041649,55.5,34,101.62,32.43,3
2022041639,32.2,21,86.79,29.8,3
2022041632,44.2,29,100.93,37.05,3
2022041630,32.4,20,104.95,33.2,3
2022041605,46.2,31,99.11,23.72,3
2022041546,37,31,102.42,39.18,3
2022041524,32.5,22,89.91,27.73,3
2022041522,37.3,26,110.92,27.23,3
2022041471,48.5,32,96.7,34.08,3
2022041468,45.1,35,104.14,28.43,3
2022041460,36.6,25,102.35,25.13,3
2022041448,48,35,103.17,37.55,3
2022041409,44.9,30,100.26,23.55,3
2022041393,33.5,23,96.24,29.13,3
2022041368,31.3,21,103.2,30.17,3
2022041357,32.3,32,108.56,28.32,3
2022041314,34.3,26,85.81,23.88,3
2022041310,31.3,23,95.72,26.2,3
2022041280,39.1,29,100.69,30.22,3
2022041271,36.9,27,104.47,30.58,3
2022041181,36,23,98.07,32.73,3
2022041154,31.2,22,104,28.6,3
2022041106,47.1,38,100.37,29.87,3
