mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022061994,33,22,99.97,19.43,4
2022061992,24.4,21,104.83,13.75,4
2022061990,19.2,14,95.1,18.32,4
2022061989,22,14,44.21,25.13,4
2022061987,16.3,20,94.49,23.5,4
2022061980,18.6,12,104.1,15.48,4
2022061966,17.3,14,107.17,25.92,4
2022061953,15.2,14,94.12,22.98,4
2022061951,16.5,13,101.24,19.27,4
2022061942,16.3,11,103.07,28.35,4
2022061941,20.5,15,105.59,17.32,4
2022061936,16.5,11,104.17,17.25,4
2022061931,21.8,14,99.32,24.65,4
2022061907,19.7,15,85.4,19.3,4
2022061897,14.1,13,89.62,25.98,4
2022061895,24.4,21,100.42,16.58,4
2022061889,31.8,21,100.18,19.45,4
2022061883,14.8,12,98.85,30.38,4
2022061874,22.5,18,100.09,17.33,4
2022061869,20.5,13,105.83,13.83,4
2022061861,21.9,18,107.57,18.97,4
2022061860,22.3,18,107.95,16.55,4
2022061858,19.1,11,105.09,26.07,4
2022061856,16.6,13,105.51,19.63,4
2022061832,24.8,17,92.76,23.6,4
2022061828,18.3,19,96.17,29.08,4
2022061824,27.1,20,95.72,24.85,4
2022061822,12,8,95.21,27.78,4
2022061813,29.8,19,102.48,25.12,4
2022061792,22.2,18,104.08,23.42,4
2022061791,19.7,20,105.16,22.48,4
2022061781,24,15,100.96,21.5,4
2022061769,21.3,17,96.85,21.72,4
2022061762,19.1,13,99.98,19.63,4
2022061746,25.5,23,99.53,17.13,4
2022061734,15.2,16,107.45,31.05,4
2022061731,23.9,19,109.31,28.13,4
2022061724,20.3,12,98.58,21.73,4
2022061701,23,20,101.28,30.15,4
2022061688,21.1,14,101.03,20.6,4
2022061685,17.5,14,108.29,17.58,4
2022061682,22.5,18,105.6,27.83,4
2022061675,28.1,23,108.33,24.65,4
2022061668,25.9,24,101.62,24.13,4
2022061665,17.9,14,106.6,26.22,4
2022061626,16.8,12,98.63,23.5,4
2022061623,19.3,15,108.81,15.7,4
2022061622,25.6,17,104.73,26.23,4
2022061609,22.3,18,104.59,16,4
2022061595,15.9,11,76.37,29.12,4
2022061594,25,17,85.07,27.93,4
2022061590,15.1,17,87.9,23.23,4
2022061555,27.3,15,102.14,15.5,4
2022061537,22,14,94.15,11.97,4
2022061535,29.3,19,94.61,23.7,4
2022061531,12.8,12,78,28.33,4
2022061530,14.5,9,98.47,24.17,4
2022061524,22.9,14,98.82,20.5,4
2022061509,16.1,15,104.34,22.87,4
2022061498,12.8,12,98.39,27.05,4
2022061492,17.2,15,99.01,19.97,4
2022061490,18,13,99.3,18.37,4
2022061488,26.4,19,104.55,28.03,4
2022061486,15.9,14,95.22,19.08,4
2022061456,20.7,17,101.1,20.33,4
2022061445,26.6,15,102.34,26.13,4
2022061436,19.3,15,109.07,16.23,4
2022061429,20.7,12,98.72,20.17,4
2022061415,27,19,104.85,27.32,4
2022061413,15.4,14,97.57,23.43,4
2022061394,27.8,18,95.03,20.77,4
2022061389,23.4,14,91.97,25.58,4
2022061385,16.8,12,99.03,30.38,4
2022061381,16.8,10,99.35,26.75,4
2022061379,15.8,11,99.68,22.37,4
2022061377,16.1,10,104.04,31.5,4
2022061374,16.5,17,100.26,16.9,4
2022061373,17.7,12,102.85,17.87,4
2022061367,26.6,23,103.12,24.15,4
2022061364,24.1,17,106.67,23.12,4
2022061358,27.2,20,87.75,19.98,4
2022061352,17.5,11,107.14,16.62,4
2022061350,18.7,16,94.79,15.87,4
2022061349,16.4,14,101.66,27.57,4
2022061347,22.2,19,102.7,14.53,4
2022061345,25.1,23,106.64,20.67,4
2022061328,16.5,11,107.5,24.65,4
2022061303,12.1,8,101.71,28.42,4
2022061302,17.8,14,104.37,17.93,4
2022061299,27.5,16,105.33,20.4,4
2022061297,28.2,20,106.28,26.1,4
2022061288,18.9,16,94.11,23.33,4
2022061283,14.2,10,85.6,25.92,4
2022061268,23.6,17,103.93,16.67,4
2022061265,14.8,9,109.46,21.42,4
2022061264,17.2,12,109.28,31.25,4
2022061263,16.8,10,108.09,22.72,4
