mission_id,real_arrival_km,real_arrival_time,speed,arrival_time
2022061389,23.4,14,91.97,25.58
2022061385,16.8,12,99.03,30.38
2022061384,36.4,22,103.15,35.78
2022061383,10,11,97.82,13.93
2022061381,16.8,10,99.35,26.75
2022061379,15.8,11,99.68,22.37
2022061377,16.1,10,104.04,31.5
2022061374,16.5,17,100.26,16.9
2022061373,17.7,12,102.85,17.87
2022061372,28.2,19,99.2,45.08
2022061369,19.1,16,95.85,33.7
2022061367,26.6,23,103.12,24.15
2022061364,24.1,17,106.67,23.12
2022061358,27.2,20,87.75,19.98
2022061357,9.2,9,98.75,17.53
2022061355,45.3,31,98.17,36.62
2022061352,17.5,11,107.14,16.62
2022061351,12.2,12,102.5,13.03
2022061350,18.7,16,94.79,15.87
2022061349,16.4,14,101.66,27.57
2022061347,22.2,19,102.7,14.53
2022061345,25.1,23,106.64,20.67
2022061333,33.4,22,101.6,30.92
2022061328,16.5,11,107.5,24.65
2022061319,27,19,101.38,38.48
2022061316,40.3,25,102.97,48.78
2022061315,42.7,27,105.43,41.98
2022061314,37.1,28,95.61,22.9
2022061312,50.8,30,103.24,38.27
2022061307,32.2,20,105.23,33.3
2022061303,12.1,8,101.71,28.42
2022061302,17.8,14,104.37,17.93
2022061301,34.1,22,103.78,45.17
2022061299,27.5,16,105.33,20.4
2022061297,28.2,20,106.28,26.1
2022061293,6.4,7,101.49,8.35
2022061292,23.4,16,94.12,32.22
2022061288,18.9,16,94.11,23.33
2022061284,11.4,10,93.68,11.85
2022061283,14.2,10,85.6,25.92
2022061280,18.4,15,93.06,33.08
2022061279,12.7,9,97.2,15.87
2022061277,12.5,9,94.2,10.33
2022061273,10.5,10,105.16,15.53
2022061272,31.2,20,99.76,44.22
2022061268,23.6,17,103.93,16.67
2022061265,14.8,9,109.46,21.42
2022061264,17.2,12,109.28,31.25
2022061263,16.8,10,108.09,22.72
2022061262,31.3,22,100.84,20.77
2022061260,30.1,24,106.59,30.12
2022061254,14.4,10,111.75,19.22
2022061250,31.9,25,96.34,23.88
2022061249,27.2,21,100.53,22.57
2022061246,9,5,99.95,10.05
2022061240,27.2,21,99.21,27.98
2022061235,15.2,14,94.75,18.48
2022061233,11.8,9,94.53,10.27
2022061231,16.7,10,96.25,27.73
2022061228,10.3,9,87.99,7.32
2022061221,14.1,16,103.65,9.03
2022061218,16.1,13,99.91,29.08
2022061212,21.5,14,104.62,35.17
2022061210,19.8,13,105.44,43.92
2022061209,41.2,24,105.81,37.98
2022061207,36.1,25,113.07,29.1
2022061206,17,13,109.39,21.45
2022061199,20.5,13,102.81,15.62
2022061198,21.1,14,101,30.85
2022061197,27.2,21,99.71,25.47
2022061192,21.9,16,102.31,35.95
2022061190,20.3,13,96.42,16.73
2022061188,46.1,30,105.35,37.22
2022061186,14.7,10,92.43,17.17
2022061174,23.2,22,101.02,33.83
2022061162,8.8,10,93.15,14.35
2022061153,14.6,10,100.64,32.47
2022061151,16.4,19,102.32,14.95
2022061144,6.7,11,110.01,7.95
2022061142,39.1,29,102.69,26.37
2022061138,14.8,11,107.84,15.17
2022061137,11.2,11,106.77,12.02
2022061136,11.5,9,103.74,12.83
2022061135,1.6,1,71.4,1.83
2022061132,25.7,22,104.64,37
2022061130,24.3,17,89.15,17.33
2022061129,22.6,18,98.95,20.75
2022061126,38.1,22,105.28,30.28
2022061119,27.2,21,96.33,27.68
2022061118,20.1,15,105.42,21.4
2022061115,36,21,95.84,38.03
2022061107,16.5,15,109.5,16.07
2022061106,11.8,12,95.65,22.13
2022061104,24.1,18,99.63,17.52
2022061094,19.5,15,99.81,10.87
2022061093,24.5,16,94.32,51.42
2022061092,23.8,19,101.84,34.22
2022061089,20.3,19,97.45,47.93
2022061083,13.3,22,105.62,26.63
2022061082,19.9,12,102.24,25.73
2022061080,13.7,13,99.26,17.85
2022061077,9.1,10,103.18,15.22
2022061074,15.5,9,108.32,14.57
2022061073,23.2,22,106.08,28.5
2022061072,9.1,6,107.02,14.87
2022061070,11.2,10,110.4,22.2
2022061068,14.4,8,98.49,11.4
2022061067,12.1,8,100.79,25.58
2022061063,30.9,21,104.08,35.37
2022061062,13.1,11,102.21,12.68
2022061060,17.2,12,94.56,24.83
2022061051,20.5,13,99.46,15.37
2022061048,31.3,20,94.45,60.57
2022061045,52.4,32,92.12,36.7
2022061042,21.6,17,101.96,25.57
2022061041,18.6,14,106.76,15.47
2022061039,22.8,14,99.44,31.05
2022061033,16.7,17,101.83,21.37
2022061029,19.5,13,103.73,17.03
2022061027,19.1,19,107.38,25.65
2022061025,27.2,16,101.54,28.75
2022061024,24.6,21,106.9,15.8
2022061020,25.4,16,105.32,29.18
2022061019,21.3,16,105.86,18.68
2022061018,11.7,8,102.79,18.93
2022061017,12.7,8,102.74,8.37
2022061011,15.8,13,103.19,28.97
2022061010,52,29,106.05,55.9
2022061009,15.2,14,97.66,27.6
2022061006,26.6,22,103.55,24.03
2022061005,25.5,23,100.04,13.32
2022061002,10.7,6,96.18,21.92
2022061000,57.8,37,95.15,53.52
2022060996,17.7,10,98.8,19.87
2022060992,16.9,12,97.26,9.7
2022060985,7.8,8,109.18,10.35
2022060983,18.2,20,104.16,21.38
2022060982,27.9,17,103.69,37.98
2022060980,1.5,1,104.13,1.2
2022060979,11.8,18,104.38,18.65
2022060977,13.3,10,103.89,21.57
2022060975,20.5,18,102.93,33.87
