mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022060125,7.2,9,97.65,13.93,2
2022060107,11.9,11,97.79,9.77,2
2022060098,10.2,9,101.01,21.75,2
2022060095,2.4,1,101.42,1.82,2
2022060091,21.6,20,96.83,11.38,2
2022060089,10.3,16,101.09,20.42,2
2022060060,11.3,11,101.68,13.1,2
2022060059,6.5,8,102.85,5.7,2
2022060050,12.8,12,96.34,7.12,2
2022060043,6.6,6,99.09,14,2
2022060034,9.6,6,101.44,5.17,2
2022060031,5.8,8,94.8,5.02,2
2022060026,20.6,22,101.41,12.2,2
2022060014,8.6,6,101.91,18.92,2
2022060013,6.6,10,95.49,6.4,2
2022051870,9.4,10,106.63,6.65,2
2022051866,1.7,1,103.15,2.67,2
2022051856,10.4,10,102.15,13.42,2
2022051853,13.8,8,103.25,7.17,2
2022051851,11.2,10,103.62,20.13,2
2022051848,13.4,11,103.88,14.77,2
2022051822,11.2,10,105.83,15.58,2
2022051785,11.8,18,103.78,17.83,2
2022051782,15.5,15,103.13,12.43,2
2022051755,4.6,6,105.2,3.25,2
2022051754,4.8,6,106.5,9.1,2
2022051743,5.6,4,102.9,4.02,2
2022051735,8.7,6,99.23,14.72,2
2022051722,12.2,12,95.63,8.03,2
2022051682,11.2,7,101.94,19.43,2
2022051651,17.8,12,98.33,11.28,2
2022051647,8.9,9,39.68,15.33,2
2022051642,10.7,9,81.63,13.33,2
2022051625,4,7,100.93,8.3,2
2022051611,9,6,105.26,15.97,2
2022051600,1,1,100.15,0.57,2
2022051580,14.1,16,93.7,15.23,2
2022051567,5.5,4,99.43,12.68,2
2022051565,6.9,7,100.6,10.75,2
2022051562,4.8,8,97.57,8.83,2
2022051524,12.8,17,98.5,13.43,2
2022051521,14.1,10,97.78,16.72,2
2022051516,12.4,9,97.1,14.9,2
2022051513,19.2,19,99.3,10.7,2
2022051497,15.8,12,98.23,8.4,2
2022051495,13.8,8,97.3,9.35,2
2022051494,15.1,14,100.73,14.03,2
2022051491,14.7,13,105.08,14.1,2
2022051481,5.7,11,99.2,7.53,2
2022051473,15.8,13,105.78,16.32,2
2022051460,14.8,11,94.73,10.8,2
2022051457,9.6,11,101.2,16.3,2
2022051456,15.8,13,108.2,14.55,2
2022051406,17.3,11,94.5,11.3,2
2022051402,11.4,11,101.67,20.23,2
2022051400,9.1,6,99.75,14.12,2
2022051397,16.1,15,108.4,13.83,2
2022051369,9.9,11,106.34,15.78,2
2022051352,16.9,15,100.55,11.88,2
2022051349,10.4,10,102.58,21.02,2
2022051335,10.2,10,105.74,18.33,2
2022051332,12.3,8,100.65,13.17,2
2022051326,16.5,14,104.15,13.25,2
2022051324,19.4,15,97.15,10.37,2
2022051296,14.6,16,94.5,17.68,2
2022051293,18.6,12,102,14.47,2
2022051282,12.6,10,104.38,19.2,2
2022051261,11,7,104.22,18.28,2
2022051258,15.7,14,104.95,14.17,2
2022051231,15.7,9,102.07,12.53,2
2022051203,10.2,10,106.88,11.58,2
2022051175,4,2,101.95,2.77,2
2022051173,15,14,102.13,9,2
2022051169,10.9,10,102.76,16.4,2
2022051159,17.9,15,99.62,15.23,2
2022051157,8.9,6,98.08,10.95,2
2022051151,9.4,10,104.8,6.5,2
2022051147,6.1,6,103.45,6.03,2
2022051141,15.5,15,102.87,7.95,2
2022051132,7.7,8,98.5,16.67,2
2022051114,10.8,7,106.48,21.53,2
2022051108,17,13,103.23,8.95,2
2022051090,17.7,17,105.3,14,2
2022051089,17.5,11,96.38,12.45,2
2022051058,18.9,12,95.28,10.42,2
2022051052,7.8,6,97.82,17.23,2
2022051043,15.1,14,99.15,14.35,2
2022051035,6.1,8,105.63,9.5,2
2022051034,6.1,8,105.63,10.82,2
2022051028,15.3,10,99.22,13.27,2
2022051022,12.8,12,100.9,11.63,2
2022051018,16.5,17,101,16.78,2
2022051010,11.8,9,102.67,20.5,2
2022051008,14.6,12,100.75,11.08,2
2022050985,13.1,13,94.58,15.18,2
2022050983,15.4,10,103.8,16.62,2
2022050977,16.9,15,101.97,10.72,2
2022050971,13.9,9,102.73,8.65,2
2022050954,14.1,16,107.17,13.2,2
2022050952,19,12,103.77,12.83,2
2022050950,5,6,86,10.73,2
2022050933,5.6,7,100.23,9.18,2
2022050923,6.7,11,104.33,9.82,2
2022050922,2.4,4,104.45,1.77,2
2022050921,12.8,12,102.42,13.1,2
