mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022061855,38.4,23,97.86,51.82,0
2022061836,38.1,22,103.39,50.43,0
2022061558,48.4,30,103.03,69.48,0
2022061432,47.1,28,99.45,93.83,0
2022061422,42,29,92.29,51.65,0
2022061316,40.3,25,102.97,48.78,0
2022061048,31.3,20,94.45,60.57,0
2022061010,52,29,106.05,55.9,0
2022061000,57.8,37,95.15,53.52,0
2022060861,59.4,41,102.38,115.83,0
2022060690,41,26,93.35,69.25,0
2022060675,31.4,21,103.99,65.97,0
2022060602,27.1,17,103.03,59,0
2022060571,39.8,25,77.94,66.63,0
2022060387,35.4,24,87.82,81.33,0
2022060332,48.6,29,105.85,51.08,0
2022060296,49.2,32,99.75,59.27,0
2022060264,33.8,21,106.57,66.6,0
2022051862,32.2,24,102.02,61.17,0
2022051724,39.2,25,96.02,56.55,0
2022051717,54.9,38,101.97,84.18,0
2022051555,38,25,88.6,56.52,0
2022051554,51.3,34,92.51,65.9,0
2022051544,46.9,29,97.58,85.75,0
2022051541,38.2,22,83.1,57.43,0
2022051532,53.4,34,94.29,64.23,0
2022051328,36,26,92.83,79.68,0
2022051319,40.4,35,104.88,53.28,0
2022051312,34,22,90.1,65.05,0
2022051235,47,32,99.14,55.07,0
2022051129,48.7,43,94.56,50.23,0
2022051025,49.5,34,95.08,56.68,0
2022050928,30.8,20,100.1,70,0
2022050912,39.9,29,94.6,59.6,0
2022050909,46.2,31,103.09,85.15,0
2022050634,44.5,27,94.57,93.48,0
2022050633,59,40,101.89,51.37,0
2022050442,26.5,18,104.46,62.22,0
2022050394,39.3,24,93.56,53.3,0
2022050301,31.1,20,103.22,61.07,0
2022050231,41.9,30,97.97,48.92,0
2022050118,35.2,20,96.83,53.52,0
2022050110,36.1,21,103.38,52.3,0
2022041942,50.9,32,101.17,115.17,0
2022041895,43.2,28,99.22,60.22,0
2022041776,35.1,21,108.26,60.97,0
2022041763,30.3,20,102.05,61.48,0
2022041709,60.7,36,103.38,80.22,0
2022041707,31.5,22,98.42,66.65,0
2022041701,41.4,27,104.1,64.23,0
